Samples,PU_1,PU_3,SU_2,PU_2,SU_1,SU_3,QC,QC,QC,QC,CU_2,CU_3,CU_1
Group,PU,PU,SU,PU,SU,SU,QC,QC,QC,QC,CU,CU,CU
117.0543242,7700.215,8476.305,0,8497.414,0,616.0967,3976.3086,3555.5234,4031.9004,3896.7188,4710.578,4869,4431.617
117.0543325,6512.922,5631.8906,0,6761.2227,0,0,2091.9727,2030.9336,1962.1396,2140.6543,4094.6113,3920.4805,4364.1055
117.9274482,5220.1914,4699.461,13048.266,4520.9766,11861.9375,12288.664,17040.922,17357.75,18891.016,21890.64,30873.875,30059.875,28898.078
117.9275019,20873.39,17493.61,22104.562,12856.383,19703.016,21440.062,37676.312,38612.375,42083.438,44365.375,58687.97,58896.78,60641.03
118.0144673,5456.301,6165.5156,5244,6514.8633,5021.8555,4629.3477,4758.8125,4480.879,6331.172,6445.918,5092.3633,5105.625,5363.7188
118.0144803,5194.367,5679.75,4350.1797,5523.1445,4633.2266,4316.0625,4480.336,4104.215,6316.3516,6597.008,4621.508,4674.801,4292.008
118.0144831,3789.045,3821.287,3394.7715,3903.1543,3105.1191,3103.0625,3312.5195,3125.1113,3898.5508,4418.3867,2896.17,2998.7715,2975.3281
118.0144857,4868,4772.082,5270.133,5061,4381.8164,4230.7695,4414.383,4308.7227,4647.2617,5436.0586,4643.4844,4519.9336,4397.5977
118.0145026,2390.793,2349.287,2906.625,2733.1719,3239.6152,2783.3574,2662.4238,2797.7285,2706.8047,2390.7754,2782.246,3136.4805,2731.3438
118.0145168,3234.457,2698.8281,3155.3535,2733.1719,3079,2987.1328,3102.0254,3140.9219,2963.9824,2582.75,2854.6562,3178.3652,2736.4277
118.0145193,3141.3691,3368.1836,3215.4473,2778.5703,2780.8105,2906.088,3102.0254,2996.3438,2963.9824,2741.2676,2854.6562,2837.6836,2736.4277
118.014527,5126.0977,4300.7656,4973.539,4246.5312,5298.3438,4852.6055,4423.3203,4393.5,4468.9297,4627.824,5049.203,5251.6797,5089.6016
118.014547,4845.4336,5409.371,3909.4297,5095.6133,4598.4297,3912.7188,4051.705,3884.332,5352.3516,5955.758,4059.2773,3899.42,4122.8633
118.0145501,3671.3223,3820.455,3644.8398,3905.0234,3952.1016,4229.043,3873.5234,3604.504,3470.7168,3680.2012,4099.957,3631.9883,3915.2598
118.0145518,3662.0566,3589.6562,3644.8398,3007.7305,3621.9219,4229.043,3873.5234,3604.504,3473.5996,2737.0332,2943.291,3631.9883,3918.1094
118.0147125,65510.625,75262.69,54818.03,77126.19,59715.125,55216.125,51490.72,54352.156,71421.81,73945.625,49953.625,52071.812,15116.6875
118.0497245,11231.148,12448.82,0,12318.125,0,0,1516.7295,1829.5996,2680.7754,2580.125,12454.586,12734.6875,13957.469
118.9229886,19988.11,13711.898,24404.5,12287.359,23889.703,24751.469,23931.938,24879.047,16808.844,9848.172,23318.672,22816.781,22876.422
118.9230991,51290.375,50850.53,38079.53,49131.97,36956.97,38002.78,40277.344,36659.53,48008.438,46928.406,32094.062,31326.797,30451.86
